,Name,PlayerId,color,WAR
21204,Ted Brown,1014725,brown,-0.1021493173033646
21566,Tom Brown,1001562,brown,25.73916947327814
21567,Tom Brown,1001564,brown,-1.2675361660245654
21568,Tom Brown,1001565,brown,-0.0093490192666649
21860,Tommy Brown,1001563,brown,-2.38343943671089
22119,Trevor Brown,13895,brown,-0.5713463179021108
22598,Walter Brown,1001567,brown,-0.3760318353896724
22840,Willard Brown,1001569,brown,24.798197754655337
22853,William Brown,1001568,brown,0.6101232643127796
1547,B. L. Brown,1014731,brown,-0.2501007973176953
21121,T. J. Brown,1014726,brown,0.7983327157255982
131,(Unknown) Green,1015297,green,-0.05906989017759141
132,(Unknown) Green,1015301,green,0.0326658799550821
634,Al Greene,1004983,green,-0.2437755969462252
1168,Andy Green,2991,green,-1.1839503019639666
4162,Chad Green,15552,green,8.004730023366482
4361,Charlie Greene,1004987,green,-0.5606708962203093
4696,Chris Green,1004986,green,0.0734279155731201
5209,Conner Greene,16455,green,0.3999021537601948
5397,Curtis Green,1015292,green,-0.2832513222321512
5500,Dallas Green,1004989,green,3.0670078449885514
5717,Danny Green,1004988,green,23.28683939087055
6097,David Green,1004990,green,4.098450400486453
6414,Dick Green,1004991,green,16.340280737954448
7238,Ed Green,1004992,green,-0.07154961574342666
8630,Fred Green,1004993,green,0.2972797198459312
8908,Gary Green,1004994,green,-0.1066215896631204
9001,Gene Green,1004995,green,2.3492478897050058
9614,Grant Green,10053,green,-0.923494761339106
9628,Greene Farmer,1015140,green,-0.8208112974735593
10194,Harvey Green,1004997,green,-0.1110511049628257
10479,Honey Green,1015293,green,-0.1460491554825345
10634,Hunter Greene,22182,green,7.406221151351929
11312,James Green,1004999,green,-0.0391236603208988
11443,Jason Green,1004998,green,-0.3070417595980743
12760,Joe Green,1005002,green,-0.0245743026394481
12761,Joe Green,1015294,green,-0.3328611203473299
12762,Joe Greene,1015300,green,6.528414629959382
14341,Julius Green,1015295,green,-0.3193874092263386
14356,June Greene,1005003,green,0.0403371551191819
14792,Khalil Greene,1826,green,8.024169144137355
15300,Lenny Green,1005005,green,9.628015890053696
15433,Leslie Green,1015296,green,1.6789978529407539
17395,Nelson Greene,1005007,green,-0.4023681229792802
17451,Nick Green,1502,green,0.3608483832104751
17839,Paddy Greene,1005008,green,-0.3202231530488632
18498,Pumpsie Green,1005009,green,2.342420855631029
19221,Rick Greene,1005010,green,-0.1288533220373918
19307,Riley Greene,25976,green,7.367830970236849
20289,Scarborough Green,1005011,green,-1.1131696761675105
20444,Sean Green,3001,green,1.2785577019878138
20517,Shane Greene,10756,green,3.977407499794235
20552,Shawn Green,651,green,29.931275798766485
20926,Steve Green,1005012,green,0.0570922642946243
21172,Taylor Green,9147,green,-0.1576707842828934
21526,Todd Greene,1450,green,-1.3468731479091016
21879,Tommy Greene,1005013,green,9.203919269402558
22252,Tyler Green,1005014,green,1.9560712410607377
22253,Tyler Greene,4675,green,0.1397916616188046
22943,Willie Green,1015299,green,0.6539232258275662
22944,Willie Greene,1005015,green,4.4081782631251505
23195,Zach Green,14973,green,-0.0756386454023929
24,(Unknown) Blue,1014645,blue,-0.1260147181126234
1784,Bert Blue,1001089,blue,0.3895206072669817
15652,Lu Blue,1001093,blue,33.51142747462707
22429,Vida Blue,1001094,blue,48.92068397622698
2597,Blue Moon Odom,1009726,blue,11.518007171685278
18,(Unknown) Black,1014627,black,-0.1270782307538993
